企业代号,企业名称,进项发票总数,进项有效发票数,进项作废发票数,进项负数发票数,进项净额,进项正数金额,进项负数金额,进项交易对手数,销项发票总数,销项有效发票数,销项作废发票数,销项负数发票数,销项净额,销项正数金额,销项负数金额,销项交易对手数,观察月数,综合活跃月数,活跃月份比例,最近断档月数,月均收入净额,月均成本净额,收入波动率,成本波动率,收入趋势率,成本趋势率,年化销项净额,年化进项净额,年化利润,利润率,年化客户数,年化供应商数,进项有效率,进项作废率,进项负数发票率,进项负数金额率,销项有效率,销项作废率,销项负数发票率,销项负数金额率
E124,个体经营E124 ,17411,15264,2147,342,785525535.34,805699368.42,20173833.08,1403,1293,1099,194,41,741780367.83,775583494.24,33803126.410000004,52,25,25,1.0,0,29671214.713200003,31421021.4136,0.6567936968707693,0.6002129614559883,0.04087853980445238,0.0469553610398162,356054576.5584,377052256.9632,-20997680.404799998,-0.05897320744410082,24.959999999999997,673.4399999999999,0.8766871518005859,0.12331284819941417,0.02240566037735849,0.024427276539981058,0.8499613302397525,0.1500386697602475,0.0373066424021838,0.04176388087914461
E125,个体经营E125 ,20288,17776,2512,396,932383246.02,956608365.16,24225119.14,1789,1595,1380,215,42,941211364.49,975082452.07,33871087.58,63,36,36,1.0,0,26144760.12472222,25899534.611666664,0.736934380351304,0.7512396059016129,0.04222673811460665,0.052920885410503056,313737121.49666667,310794415.34,2942706.156666696,0.009379528130521083,21.0,596.3333333333334,0.8761829652996845,0.12381703470031545,0.022277227722772276,0.024698503393049385,0.8652037617554859,0.13479623824451412,0.030434782608695653,0.03357051266379389
E126,个体经营E126 ,533,515,18,3,112773465.19,112876895.23,103430.04,72,1516,1264,252,32,520691097.82,537954458.66,17263360.84,143,36,36,1.0,0,14463641.606111111,3132596.255277778,0.6830899451722259,0.8127294697561364,0.0394129400318663,0.03908475326884595,173563699.27333334,37591155.06333333,135972544.21,0.783415799382487,47.666666666666664,24.0,0.9662288930581614,0.03377110694183865,0.005825242718446602,0.0009154694833177655,0.8337730870712401,0.1662269129287599,0.02531645569620253,0.03109295169154779
E127,个体经营E127 ,1450,1424,26,2,1646702.46,1647622.81,920.3499999999999,297,4026,3904,122,4,651937954.53,653270552.59,1332598.06,25,36,36,1.0,0,18109387.625833333,45741.73499999999,0.8056104265159953,1.666776654058451,-0.015682747262021287,0.05496196216355706,217312651.51,548900.82,216763750.69,0.9974741423649938,8.333333333333334,99.0,0.9820689655172414,0.01793103448275862,0.0014044943820224719,0.0005582808035186654,0.9696969696969697,0.030303030303030304,0.0010245901639344263,0.0020357342592634527
E128,个体经营E128 ,3222,3134,88,15,8928032.93,9264262.89,336229.96,532,1255,1161,94,0,242390151.79,242390151.79,0.0,7,36,36,1.0,0,6733059.771944445,248000.91472222217,1.4337740181097365,1.2891354526503924,0.027151014142841993,0.04314876281809435,80796717.26333334,2976010.9766666666,77820706.28666666,0.9631666845205203,2.3333333333333335,177.33333333333334,0.9726877715704532,0.027312228429546864,0.004786215698787492,0.03502215618024235,0.9250996015936255,0.0749003984063745,0.0,0.0
E129,个体经营E129 ,6326,5928,398,29,76126149.46,77383545.07,1257395.61,1368,5817,5181,636,86,324806032.62,330947396.07,6141363.45,796,36,36,1.0,0,9022389.795000002,2114615.2627777774,0.57655667244601,0.9625732647430237,-0.0067118250692133645,-0.023011500432254094,108268677.54,25375383.153333332,82893294.38666667,0.7656258141330085,265.3333333333333,456.0,0.9370850458425546,0.06291495415744547,0.004892037786774629,0.015989071330116754,0.8906652913873131,0.10933470861268695,0.016599112140513416,0.01821883191461216
E130,个体经营E130 ,3251,3123,128,18,72445153.24,72854539.4,409386.16000000003,517,1382,1321,61,21,110036672.88,111899209.8,1862536.92,14,31,31,1.0,0,3549570.0929032257,2336940.4270967743,1.8417828849286682,1.5835986166930227,0.11595761337258814,0.12107122747538836,42594841.114838704,28043285.125161286,14551555.989677418,0.34162719260873387,5.419354838709677,200.1290322580645,0.9606274992310059,0.03937250076899416,0.005763688760806916,0.005587827254283971,0.9558610709117221,0.04413892908827786,0.015897047691143074,0.01637226021664587
E131,个体经营E131 ,7077,6527,550,130,111348020.14,113523431.17,2175411.03,906,3336,3097,239,42,209084031.79,211319504.1,2235472.31,818,36,36,1.0,0,5807889.771944445,3093000.5594444443,0.38647984491639126,1.1567117622432446,0.007296379991896493,0.009617197657481398,69694677.26333334,37116006.71333333,32578670.550000004,0.46744847424868957,272.6666666666667,302.0,0.9222834534407235,0.07771654655927653,0.019917266738164546,0.01880235781650717,0.9283573141486811,0.07164268585131894,0.013561511139812722,0.01046790080746309
E132,个体经营E132 ,5159,5050,109,10,64061771.730000004,64577531.78,515760.05,682,1798,1659,139,8,203358261.85,205891345.96,2533084.11,99,34,34,1.0,0,5981125.3485294115,1884169.7567647058,0.6805472502563356,0.8360572800278442,0.01233749691215884,0.03445619479370026,71773504.18235293,22610037.08117647,49163467.101176456,0.684980727376334,34.94117647058823,240.70588235294116,0.9788718743942625,0.021128125605737545,0.0019801980198019802,0.007923397872502402,0.9226918798665183,0.07730812013348165,0.004822182037371911,0.01215348944050971
E133,个体经营E133 ,1645,1599,46,2,39108647.88,39108990.93,343.05,282,170,140,30,3,113655014.38,115985111.47,2330097.09,9,36,35,0.9722222222222222,0,3157083.7327777785,1086351.33,1.8778665441575837,1.4753100039576488,0.019479972806968972,0.04430893602625914,37885004.79333333,13036215.96,24848788.83333333,0.6559003745383186,3.0,94.0,0.9720364741641337,0.02796352583586626,0.0012507817385866166,8.771563335121772e-06,0.8235294117647058,0.17647058823529413,0.02142857142857143,0.019693977793382
E134,***工程咨询有限公司,1695,1664,31,7,3928745.5,3932303.63,3558.13,581,3070,2835,235,58,122815469.97999999,125720463.61999999,2904993.64,1672,37,37,1.0,0,3319337.0264864867,106182.31081081083,0.7982611023993991,2.2030581671759695,0.04992829641685534,0.08117192866620683,39832044.317837834,1274187.7297297297,38557856.58810811,0.9680109883499223,542.2702702702702,188.43243243243242,0.9817109144542773,0.018289085545722714,0.004206730769230769,0.000904028194323573,0.9234527687296417,0.07654723127035831,0.020458553791887126,0.022584904278535822
E135,***建设工程有限公司,2891,2847,44,5,24565279.45,24856423.81,291144.36000000004,364,413,367,46,14,135537558.52,143763970.67,8226412.149999999,73,37,37,1.0,0,3663177.257297297,663926.4716216217,0.8643868016534698,1.5419580351759852,0.024518614450875914,0.10347074574844786,43958127.08756757,7967117.659459459,35991009.42810811,0.8187566625941907,23.675675675675674,118.05405405405405,0.9847803528190937,0.015219647180906262,0.0017562346329469617,0.011577435958492525,0.8886198547215496,0.11138014527845036,0.03814713896457766,0.05412455707636726
E136,***机械有限责任公司,1288,1286,2,1,114520005.26,114522405.96,2400.7,16,1355,1284,71,4,116652185.36,116954749.48,302564.12,4,30,29,0.9666666666666667,0,3888406.1786666666,3817333.508666666,1.0242986854720304,1.0730032549651223,0.038764174806262576,0.03526372132041606,46660874.144,45808002.104,852872.0399999991,0.01827809820638921,1.6,6.4,0.9984472049689441,0.0015527950310559005,0.0007776049766718507,2.0962270708102324e-05,0.9476014760147602,0.05239852398523985,0.003115264797507788,0.002580343269948494
E137,***建设工程有限公司,3281,3141,140,37,103268584.53,106065057.12,2796472.59,675,254,231,23,6,143264372.92,146966049.89000002,3701676.97,25,37,37,1.0,0,3872010.0789189194,2791042.8251351356,1.2820251846508581,0.9813695832212987,0.024880553456581227,0.021258087469662894,46464120.94702702,33492513.90162162,12971607.045405399,0.2791747004144147,8.108108108108107,218.9189189189189,0.9573300822919841,0.04266991770801585,0.01177968799745304,0.025688345528945073,0.9094488188976378,0.09055118110236221,0.025974025974025976,0.024568479575188568
E138,个体经营E138 ,520,512,8,25,20785662.73,20793138.37,7475.64,54,1492,1439,53,12,107831741.03,108498999.97,667258.9400000001,118,36,36,1.0,0,2995326.1397222225,577379.5202777778,0.6207763752934642,1.3997833089106737,0.03377489625200564,0.029578033377061202,35943913.67666667,6928554.243333333,29015359.433333337,0.8072398485691037,39.333333333333336,18.0,0.9846153846153847,0.015384615384615385,0.048828125,0.000359395159989318,0.9644772117962467,0.035522788203753354,0.008339124391938846,0.0061123184641704055
E139,个体经营E139 ,472,457,15,2,1210488.04,1216303.97,5815.93,77,12822,12209,613,32,187713527.39,188381895.58,668368.1900000001,167,36,36,1.0,0,5214264.649722222,33624.66777777779,0.41122912609672,1.2919868720405348,-0.012674348286846885,0.02714365827095716,62571175.79666666,403496.01333333337,62167679.783333324,0.9935514075259742,55.666666666666664,25.666666666666668,0.9682203389830508,0.03177966101694915,0.00437636761487965,0.004758886587150737,0.9521915457806894,0.04780845421931056,0.002621017282332705,0.003535399404748474
E140,***建筑工程有限公司,2074,2023,51,17,6926522.32,7708755.08,782232.76,561,845,726,119,22,182429033.05,186361284.99,3932251.94,20,37,37,1.0,0,4930514.406756756,187203.30594594596,0.8175194198954862,1.6581654192984197,-0.0028161961735758893,0.052813375664586874,59166172.88108108,2246439.6713513513,56919733.20972973,0.9620316886835574,6.486486486486486,181.94594594594594,0.9754098360655737,0.02459016393442623,0.008403361344537815,0.0921250595030884,0.8591715976331361,0.1408284023668639,0.030303030303030304,0.020664138170107635
E141,***食品有限公司,1413,1357,56,3,39177009.15,39201322.74,24313.59,208,4740,4458,282,144,159374968.2,163378890.29,4003922.09,1183,36,36,1.0,0,4427082.45,1088250.254166667,0.46849886731666607,1.0022180439600241,0.022235329316111604,0.05441506227626308,53124989.4,13059003.049999999,40065986.35,0.7541834229523631,394.3333333333333,69.33333333333333,0.9603680113234253,0.039631988676574664,0.002210759027266028,0.0006198392754027757,0.9405063291139241,0.05949367088607595,0.03230148048452221,0.023920748092761852
