企业代号,违约概率,风险等级,TOPSIS得分,D_pos,D_neg,PD排名,TOPSIS排名,企业名称,信誉评级,是否违约,硬性禁贷
E14,0.014184973667210813,A,0.7821415293671059,0.0670555778030323,0.24073864111455753,1,6,个体经营E14,C,否,False
E8,0.01707567863714793,A,0.8151512976277173,0.05712081862467089,0.2518930824284746,2,2,***科学研究院有限公司,A,否,False
E1,0.01851070086059584,A,0.5787153326640087,0.14750231553944457,0.20262273523009974,3,96,***电器销售有限公司,A,否,False
E2,0.02297810632951877,A,0.8391443637731787,0.04881501593398456,0.25465595393088797,4,1,***技术有限责任公司,A,否,False
E7,0.023854392596235254,A,0.7432405249749129,0.08492874538459912,0.24584286635943103,5,17,***家电有限公司***分公司,A,否,False
E54,0.024457774164088397,A,0.7666620562198306,0.07136437499646536,0.23447690328144158,6,9,***新技术开发有限公司,A,否,False
E23,0.027814765848576097,A,0.7479066841313385,0.07848922784007079,0.23286066880281778,7,16,***贸易有限公司,B,否,False
E9,0.028274839736392887,A,0.7879938980070007,0.06718199568469772,0.24970508941871192,8,4,***生活用品服务有限公司***分公司,A,否,False
E31,0.030290236245240888,A,0.7548154204625147,0.07685674375456417,0.23660809118548906,9,14,***食品有限公司,A,否,False
E13,0.031234098404797683,A,0.7961132039463671,0.06248456334706083,0.24398238084202797,10,3,***汽车贸易有限公司,A,否,False
E36,0.03355942715104538,A,0.7646147738637311,0.07149299872480361,0.23223463914918502,11,10,***超硬材料有限公司,D,是,True
E3,0.03606070731769106,A,0.7374004196297764,0.08645518629568905,0.2427730103899302,12,19,***电子(中国)有限公司***分公司,C,否,False
E4,0.036211103543672865,A,0.6841166941205883,0.10854906687052236,0.23508753832557777,13,47,***发展有限责任公司,C,否,False
E17,0.03774428395085142,A,0.7673965691000133,0.06946835042412589,0.2291873923365879,14,8,***消防工程有限公司,A,否,False
E16,0.0389907435846314,A,0.7289822033515393,0.08635890825610336,0.23228772426788605,15,27,***建筑劳务有限公司,A,否,False
E24,0.039532862832764595,A,0.7632130435969461,0.07198750764469952,0.23203053768277973,16,11,***建筑工程有限公司,A,否,False
E29,0.042022776405987596,A,0.6152784472960441,0.1295380845296145,0.20716799190196605,17,85,***建筑劳务有限公司,C,是,False
E48,0.042814190513040806,A,0.7599629132467565,0.07336525558714768,0.23227607917278736,18,13,***化工有限公司,A,否,False
E46,0.04343361053107686,A,0.7303889138462101,0.08262914336688458,0.2238461746389625,19,26,***广告传媒有限公司,C,否,False
E40,0.04368328229263352,A,0.7873465247518898,0.0632388708764989,0.23414103698870709,20,5,***财税咨询服务有限公司,C,否,False
E75,0.04632433009130059,A,0.7032666906859734,0.0958384556034091,0.22713996506990095,21,39,***酒店管理有限公司,C,否,False
E47,0.046956044767255053,A,0.7429366500861967,0.07982591100730609,0.23070420164419697,22,18,***控制设备有限责任公司,C,否,False
E18,0.047544041683051805,A,0.7369173681309599,0.08145788106942209,0.22817062040448366,23,21,***消防工程有限责任公司,A,否,False
E19,0.04785572382404164,A,0.602112165429938,0.1347677007457047,0.20394006821970742,24,89,***科技有限公司,A,否,False
E6,0.048624022216754215,A,0.7756295403733278,0.0683943431428094,0.23643341028163886,25,7,***装饰设计工程有限公司,A,否,False
E21,0.048994850145624345,A,0.7599940174784231,0.07061083081147049,0.22359363055074774,26,12,***建设工程有限公司,B,否,False
E51,0.05315576229056488,A,0.7312806265891683,0.08204469026775382,0.2232726719542835,27,25,***物流有限公司,B,否,False
E61,0.05645656576397333,A,0.7003455698106157,0.0966398507192015,0.22586447754360514,28,42,***调味品有限公司,B,否,False
E41,0.05792726832889572,A,0.7323605564200453,0.08359214638659311,0.22873904541556284,29,24,***物业发展有限公司,C,否,False
E5,0.05807896051822666,A,0.7356532392750084,0.08012848303998944,0.22299035533817277,30,23,***供应链管理有限公司,B,否,False
E25,0.05960413957572462,A,0.7534614560314942,0.07487432751258359,0.22882799143251592,31,15,***通讯设备有限公司,C,否,False
E45,0.06106307851470301,A,0.7197718693277447,0.08324566920098467,0.2138182586826361,32,28,个体经营E45,B,是,False
E10,0.061566882282516854,A,0.7129108446438341,0.0947484512273285,0.2352830022763143,33,34,***建筑劳务有限公司,B,否,False
E20,0.06252440272551799,A,0.7018536319553157,0.09473693918169762,0.223016182558491,34,40,***贸易有限公司,B,否,False
E69,0.06293489807587462,A,0.64599578329113,0.11798838526700134,0.2153081679885606,35,75,***电子器材经营部,C,否,False
E59,0.06333024575615526,A,0.7188737166733119,0.08710461284253862,0.2227369708464437,36,29,***商贸有限公司,A,否,False
E56,0.06616287292158238,A,0.7104796533787593,0.0878364631042761,0.2155496861917747,37,36,***家居材料***有限公司,C,否,False
E22,0.0687888882711373,A,0.7370854528298706,0.08029691602437042,0.2251137844813384,38,20,***物流有限公司,A,否,False
E95,0.0702647410889778,A,0.6366521369833542,0.12226305225585773,0.21422730505844026,39,81,***兰花店,B,否,False
E64,0.07084655025175086,A,0.6890863312391333,0.09947394314054256,0.22046677717899746,40,45,***图书有限责任公司,A,否,False
E15,0.07222019749849644,A,0.6833699805325213,0.10529093337181963,0.22724523470504876,41,49,***劳务有限公司,A,否,False
E81,0.07222215542695952,A,0.6788571038052195,0.10095920931898976,0.2134155145664038,42,56,***机械设备有限公司,A,否,False
E11,0.07281488017687995,A,0.7158138259866738,0.08836391936268623,0.22257280959493936,43,31,***建设工程有限公司,C,否,False
