企业代号,TOPSIS得分,D_pos,D_neg,排名,风险等级,信誉评级,是否违约,企业名称,初始额度,贷款额度_万元,贷款年利率,预计流失率
E40,0.7827878387787384,0.008971380915576815,0.03233100687494005,1,A,C,否,***财税咨询服务有限公司,116.20732868284517,100.0,0.04,0.06004238009499108
E46,0.7601078010975831,0.01037013593847582,0.03285818072176779,2,A,C,否,***广告传媒有限公司,112.84040540837884,100.0,0.04,0.06004238009499108
E6,0.7577709569387713,0.010199353164920233,0.03190688247067248,3,A,A,否,***装饰设计工程有限公司,112.49349350736196,100.0,0.04,0.06004238009499108
E47,0.7458134680240098,0.01050404540511701,0.030820116514324095,4,A,C,否,***控制设备有限责任公司,110.71836648609008,100.0,0.04,0.06004238009499108
E2,0.6918940366260078,0.014477184395187907,0.03251049554664717,5,A,A,否,***技术有限责任公司,102.71385648164832,100.0,0.04,0.06004238009499108
E16,0.6744826556663058,0.01486661372339528,0.030804113143174456,6,A,A,否,***建筑劳务有限公司,100.12908194917347,100.0,0.04,0.06004238009499108
E33,0.671435849613457,0.014982406555014281,0.030617232168163717,7,A,B,否,***园林有限责任公司,99.67677396113847,100.0,0.04,0.06004238009499108
E4,0.6590086007791981,0.016146923921246305,0.031205953477255754,8,A,C,否,***发展有限责任公司,97.83190959513185,98.56585938862916,0.04,0.06004238009499108
E59,0.6522392438671413,0.014484779358890195,0.027166784549477963,9,A,A,否,***商贸有限公司,96.82697716685324,97.5533878051683,0.04,0.06004238009499108
E32,0.6517202994488821,0.01630033558584747,0.03050209234794774,10,A,B,否,***建筑劳务有限公司,96.74993822782876,97.47577090836275,0.04,0.06004238009499108
E12,0.6483485244872408,0.01716184685138901,0.031641721586265145,11,A,B,否,***建筑劳务有限公司,96.24938757821297,96.97146505201083,0.04,0.06004238009499108
E53,0.6475639447692573,0.015923546949607698,0.029257831950977326,12,A,C,否,***文化传媒有限公司,96.13291423939891,96.85411791257972,0.04,0.06004238009499108
E21,0.6474112401284213,0.014971495872803754,0.027490140959455827,13,A,B,否,***建设工程有限公司,96.11024475284084,96.83127835610226,0.04,0.06004238009499108
E18,0.6436383757131015,0.015174348215713436,0.027406971380857136,14,A,A,否,***消防工程有限责任公司,95.55015110617548,96.26698280212455,0.04,0.06004238009499108
E8,0.6349997423454213,0.01864437745310389,0.032436072661942796,15,A,A,否,***科学研究院有限公司,94.26771868017511,94.97492937395697,0.04,0.06004238009499108
E88,0.6320482550815437,0.01646608391311324,0.02828457739102699,16,A,A,否,***贸易有限公司,93.82956106761975,94.53348463667324,0.04,0.06004238009499108
E27,0.626480907172622,0.01582739632145378,0.026546331355081384,17,A,A,否,***农业开发有限公司,93.00307067482932,93.70079378785954,0.04,0.06004238009499108
E36,0.6257889933295436,0.016072385419313915,0.026877675195733242,18,A,D,是,***超硬材料有限公司,92.90035387801721,93.59730639409067,0.04,0.06004238009499108
E38,0.6219411745897969,0.017961122048013537,0.029547680394371653,19,A,B,否,***建设工程有限公司,92.32913302499608,93.0218001557709,0.04,0.06004238009499108
E55,0.621342386959726,0.01755457910606531,0.02880545302195162,20,A,C,否,***集团有限公司***电力设备分公司,92.24024110883214,92.93224135899733,0.04,0.06004238009499108
E49,0.6192999751648336,0.016459166912350786,0.026774785907792045,21,A,C,否,***地球环保科技有限公司,91.93703862279828,92.62676420202091,0.04,0.06004238009499108
E22,0.617562197883551,0.016306371950868124,0.026331599140449306,22,A,A,否,***物流有限公司,91.67906009311311,92.36685027835873,0.04,0.06004238009499108
