企业代号,TOPSIS得分,D_pos,D_neg,排名,风险等级,信誉评级,是否违约,企业名称,初始额度,贷款额度_万元,贷款年利率,预计流失率
E38,0.8658869030292768,0.016407871555160988,0.10593567225803445,1,A,B,否,***建设工程有限公司,327.4181491755369,100.0,0.04,0.06004238009499108
E28,0.8503006553591234,0.018598250419446426,0.10563910321802582,2,A,B,否,***景观工程有限公司,321.52451532231686,100.0,0.04,0.06004238009499108
E32,0.745853149584988,0.028208144614457017,0.08278337296049702,3,A,B,否,***建筑劳务有限公司,282.0297396109301,100.0,0.04,0.06004238009499108
E46,0.5119479225592821,0.053646280543206366,0.05627289206747185,4,A,C,否,***广告传媒有限公司,193.5830657470445,100.0,0.04,0.06004238009499108
E60,0.5018106602052187,0.054709839495878876,0.05510752335338533,5,A,B,否,***机械租赁有限公司,189.74985881659842,100.0,0.040063703599689374,0.06105315009335732
E103,0.40933880118058386,0.06475696217678119,0.04487773586367609,6,A,D,是,***科技有限公司,154.7834390373592,100.0,0.0426197873840024,0.10109825629162694
E12,0.357561231084501,0.07192677067042974,0.040032180362132214,7,A,B,否,***建筑劳务有限公司,135.2047664528024,100.0,0.04405100990628856,0.1230845753694404
E4,0.30633682493885284,0.07809160768174785,0.03448696141248724,8,A,C,否,***发展有限责任公司,115.83526196653692,100.0,0.045466942010293034,0.14452796617176256
E89,0.2997427872616035,0.07707139983943277,0.03299015816728963,9,A,A,否,***物资有限公司,113.34185595204991,100.0,0.045649212735222176,0.14726608162433918
E16,0.2975345467770684,0.07889384043644869,0.03341608181592898,10,A,A,否,***建筑劳务有限公司,112.50685312448489,100.0,0.045710252361265385,0.14818189901931234
E120,0.2854921836689857,0.07870686503642887,0.03144849399181425,11,A,D,是,***陈列广告有限公司,107.95326970989098,100.0,0.04604312432242255,0.15316617550193434
E53,0.2599229081637954,0.08283651400000389,0.029093060518345655,12,A,C,否,***文化传媒有限公司,98.28474968449251,98.28474968449251,0.04674990378143654,0.16369302981260592
E93,0.25407507223840586,0.08341034898657643,0.028411023221586725,13,A,B,否,***电脑设计事务所,96.0735052267293,96.0735052267293,0.0469115481859059,0.16608985396869624
E33,0.24308956071549365,0.08616686160122261,0.027673372499227338,14,A,B,否,***园林有限责任公司,91.91954951034766,91.91954951034766,0.04721520692232883,0.1705816360637079
E40,0.23583957618399867,0.09034963315998014,0.027884222381503662,15,A,C,否,***财税咨询服务有限公司,89.17811005844143,89.17811005844143,0.04741560916462113,0.17353830842519058
E6,0.2312320037554992,0.09157191266957135,0.0275432340546786,16,A,A,否,***装饰设计工程有限公司,87.43584691592972,87.43584691592972,0.04754297051859151,0.17541416853770564
E2,0.22698892897021145,0.09891025979359586,0.029044259230083528,17,A,A,否,***技术有限责任公司,85.83141140806832,85.83141140806832,0.04766025652071905,0.17713943988349423
E55,0.22667843104536703,0.0870688928753422,0.02552190553345029,18,A,C,否,***集团有限公司***电力设备分公司,85.71400270778688,85.71400270778688,0.047668839225978026,0.17726560851198492
E47,0.22328491035016587,0.09389352831327169,0.026991889730559077,19,A,C,否,***控制设备有限责任公司,84.43080941623286,84.43080941623286,0.04776264206840194,0.17864380771900767
E8,0.22096987665566928,0.10225863856246374,0.02900539795960731,20,A,A,否,***科学研究院有限公司,83.55542483092583,83.55542483092583,0.04782663364539689,0.17958323305595092
E123,0.21795935681035652,0.08766488987824489,0.024432723770955574,21,A,D,是,***创科技有限责任公司,82.41705579871146,82.41705579871146,0.047909849675009816,0.18080394603873307
E7,0.2115036646728751,0.10433292470426886,0.027985920710509222,22,A,A,否,***家电有限公司***分公司,79.97596243662632,79.97596243662632,0.048088296287451524,0.18341804814152907
E13,0.2110175110107668,0.10442500405045678,0.027929015852108902,23,A,A,否,***汽车贸易有限公司,79.79213296454915,79.79213296454915,0.04810173442425884,0.1836147092157554
E88,0.2077286125738106,0.09074825894777447,0.023793627062502373,24,A,A,否,***贸易有限公司,78.54850052792584,78.54850052792584,0.04819264532463034,0.18494442439761405
E15,0.2064719695563549,0.09160746281600207,0.023835797285076194,25,A,A,否,***劳务有限公司,78.07332561823468,78.07332561823468,0.04822738113370208,0.18545215685695193
E75,0.20235009804586182,0.10251589194707057,0.02600652333301661,26,A,C,否,***酒店管理有限公司,76.51472075149795,76.51472075149795,0.048341316865503324,0.187116258310147
E21,0.20085118904096022,0.09697433567117843,0.024372695496648496,27,A,B,否,***建设工程有限公司,75.94793771037503,75.94793771037503,0.048382749329844384,0.1877209130659233
E14,0.2005625820682824,0.10198155646271234,0.025585097505719866,28,A,C,否,个体经营E14,75.83880664429384,75.83880664429384,0.048390726930929544,0.18783730601075976
E69,0.2000496745990173,0.09125255278599573,0.022820221345641156,29,A,C,否,***电子器材经营部,75.6448607447802,75.6448607447802,0.048404904589720764,0.18804413359817873
E18,0.19983074985940968,0.09525715212418348,0.023789102286926083,30,A,A,否,***消防工程有限责任公司,75.5620786484114,75.5620786484114,0.04841095605210942,0.18813240464275316
E59,0.19901570428607374,0.09475743709737555,0.023543805017386746,31,B,A,否,***商贸有限公司,75.2538851508752,75.2538851508752,0.07343348533610408,0.4671131182317132
E23,0.1967140004452304,0.0995205467873364,0.024371251205528903,32,B,B,否,***贸易有限公司,74.38354098828003,74.38354098828003,0.07349710845264923,0.46776371237931347
E30,0.1966646160431409,0.09365178998618914,0.022926904114030464,33,B,B,否,***建筑工程有限公司,74.36486724523839,74.36486724523839,0.07349847352382559,0.4677776652306733
E1,0.19565924583363714,0.10046039038800407,0.02443740929159008,34,B,A,否,***电器销售有限公司,73.98470621949667,73.98470621949667,0.07352626371336919,0.46806166305814734
E3,0.19512983920312874,0.1014558016407194,0.02459658119363972,35,B,C,否,***电子(中国)有限公司***分公司,73.7845214857677,73.7845214857677,0.07354089743781059,0.46821116811685237
E27,0.19417353433109516,0.09749071805175158,0.023491555682365543,36,B,A,否,***农业开发有限公司,73.42291355503981,73.42291355503981,0.0735673313756815,0.46848115599710205
E36,0.19352962441018653,0.09806967761164352,0.023533893430777098,37,B,D,是,***超硬材料有限公司,73.17943164787377,73.17943164787377,0.07358513017117185,0.4686628937813746
E44,0.19309348590412675,0.09471054128670235,0.02266432139218444,38,B,C,否,***商贸有限公司,73.01451442607646,73.01451442607646,0.0735971858016611,0.4687859655022857
E9,0.1930758982567102,0.1029270553362394,0.02462776067913849,39,B,A,否,***生活用品服务有限公司***分公司,73.00786400216388,73.00786400216388,0.0735976719549713,0.4687909280574236
E49,0.19299376870595272,0.09880318266691773,0.02362856424597198,40,B,C,否,***地球环保科技有限公司,72.97680832340544,72.97680832340544,0.07359994215928121,0.4688141014209821
E22,0.19267085783099513,0.09389249804830556,0.02240764912097657,41,B,A,否,***物流有限公司,72.85470590950196,72.85470590950196,0.0736088679801738,0.4689052059439158
E24,0.19242240307949407,0.09734235032865687,0.023193868976890294,42,B,A,否,***建筑工程有限公司,72.76075761832705,72.76075761832705,0.07361573570369688,0.4689752964054643
E114,0.19186317357861693,0.08951264434484668,0.021251574557575315,43,B,D,是,***食品有限责任公司,72.54929595110356,72.54929595110356,0.07363119378439277,0.4691330347004623
E54,0.1916454523739017,0.10458112984610471,0.024794192100470597,44,B,A,否,***新技术开发有限公司,72.4669689478486,72.4669689478486,0.07363721197897373,0.46919443715042
E116,0.19130094249158258,0.09196854661362681,0.021755521393797012,45,B,D,是,***门窗有限公司,72.33669929294679,72.33669929294679,0.07364673483417553,0.46929158690630457
E17,0.19103957253397272,0.09994374150865382,0.02360215531811155,46,B,A,否,***消防工程有限公司,72.2378673698962,72.2378673698962,0.07365395955656566,0.4693652834738635
E45,0.1906218124296665,0.09436166200110087,0.02222371607087863,47,B,B,是,个体经营E45,72.07989958025439,72.07989958025439,0.07366550717591291,0.46948306149636165
E19,0.18936268621824232,0.10309242471481675,0.02408211186538762,48,B,A,否,***科技有限公司,71.60378569946855,71.60378569946855,0.0737003116248055,0.46983793408917585
E58,0.18877829368510624,0.09366203042970375,0.021795962990096028,49,B,B,否,***油气工程建设有限责任公司,71.38280912513531,71.38280912513531,0.07371646525568713,0.470002583575154
E10,0.18422260775860527,0.09916059503744445,0.02239290225302971,50,B,B,否,***建筑劳务有限公司,69.6601658456705,69.6601658456705,0.07384239237606707,0.4712849083914763
E51,0.18206146891445568,0.09847212421769305,0.021918492528291148,51,B,B,否,***物流有限公司,68.84297357958204,68.84297357958204,0.0739021300304567,0.47189246771314153
E25,0.18176373756308833,0.10093339878867842,0.02242143577716395,52,B,C,否,***通讯设备有限公司,68.73039230866179,68.73039230866179,0.07391035984531431,0.4719761307027406
E41,0.18075876828690038,0.09816935438408286,0.02166025206626975,53,B,C,否,***物业发展有限公司,68.35038288798965,68.35038288798965,0.07393813895236041,0.4722584607358764
E37,0.1792345406935038,0.10036573456412266,0.02191735304159414,54,B,B,否,***木业有限公司,67.77402611921738,67.77402611921738,0.07398027126673343,0.47268646798317926
E31,0.17699746264865573,0.1022536818553721,0.021990992024314187,55,B,A,否,***食品有限公司,66.9281189338299,66.9281189338299,0.07404210801333928,0.4733142088235369
E56,0.17496716369328122,0.09794305918070541,0.020771075421682165,56,B,C,否,***家居材料***有限公司,66.1604012054336,66.1604012054336,0.07409822902455154,0.473883476192847
E35,0.17340500229329436,0.09772246336526641,0.020500443422684565,57,B,B,否,***商贸有限公司,65.5697005117197,65.5697005117197,0.07414140989563063,0.47432119305998244
E48,0.17333349799813855,0.10186829267535909,0.021359505268157566,58,B,A,否,***化工有限公司,65.54266256496693,65.54266256496693,0.07414338639930737,0.4743412224655441
E63,0.17217641658269936,0.10067125571715099,0.020938297010949104,59,B,B,否,***科技有限公司,65.10513492231162,65.10513492231162,0.07417537015170869,0.4746652642139968
E5,0.17196998237067634,0.10270179016347544,0.021329691759745098,60,B,B,否,***供应链管理有限公司,65.02707587396405,65.02707587396405,0.07418107635408686,0.4747230617008362
E11,0.1714866842905271,0.10313988162180426,0.021348016962521414,61,B,C,否,***建设工程有限公司,64.84432618419632,64.84432618419632,0.0741944355576185,0.47485835827949074
E95,0.16896997839239986,0.10484586544020152,0.021317886426885854,62,C,B,否,***兰花店,63.892683210614905,63.892683210614905,0.10926400170675771,0.7355397824910357
E72,0.16819248199520048,0.09490443063429749,0.019189790180078336,63,C,C,否,***图书有限公司,63.59868819755826,63.59868819755826,0.10928549306590421,0.7356600210458839
E61,0.16806090857741954,0.10124671795295803,0.020452958137307724,64,C,B,否,***调味品有限公司,63.54893629025972,63.54893629025972,0.10928912998510519,0.7356803628175632
E34,0.16674276820723097,0.10121489329927888,0.02025407143027178,65,C,B,否,***建设工程有限公司,63.05050736282033,63.05050736282033,0.10932556568847727,0.7358840591808111
E20,0.16572791057130795,0.10103124202437808,0.020069827164648828,66,C,B,否,***贸易有限公司,62.66675885286124,62.66675885286124,0.10935361812706704,0.7360407726377733
